Type,Campaign,Ad group,Ad group state
Ad group,Mobile Notary — Houston — Search,Mobile Notary,Paused
Ad group,Mobile Notary — Houston — Search,Notary Near Me,Paused
Ad group,Mobile Notary — Houston — Search,Loan Signing,Paused

