service_id,display_name,base_price_usd,included_radius_mi,fee_per_mile_usd,max_documents,default_duration_min,business_hours,ron_notarial_fee_usd,seal_price_usd,signer_fee_usd,witness_fee_usd
STANDARD_NOTARY,Standard Mobile Notary,85,20,tiered,4,60,"Mon-Fri 9-17",,,, 
EXTENDED_HOURS,Extended Hours Mobile,125,30,tiered,4,60,"Daily 7-21",,,,
LOAN_SIGNING,Loan Signing Specialist,175,30,tiered,999,90,"Mon-Fri 8-18",,,,
RON_SERVICES,Remote Online Notarization,35,0,0,20,30,"24/7",10,10,15,25
STARTER_PARTNER,Starter Partner Subscription,199,20,0.50,15,60,"Mon-Fri 9-17",,,,
GROWTH_PARTNER,Growth Partner Subscription,499,30,0.50,50,60,"Daily 7-21",,,,
ENTERPRISE_PARTNER,Enterprise Partner Subscription,1199,40,0.50,150,60,"24/7",,,,
